,Accuracy,TPR (Recall),TNR (Specificity),FPR,FNR,PPV (Precision),NPV,TP,TN,FP,FN
ANN,0.9722724532851115,0.9578231292517007,0.9837662337662337,0.016233766233766232,0.04217687074829932,0.9791376912378303,0.9670212765957447,704.0,909.0,15.0,31.0
CNN1D,0.9596142254370102,0.9537414965986395,0.9642857142857143,0.03571428571428571,0.04625850340136054,0.9550408719346049,0.9632432432432433,701.0,891.0,33.0,34.0
LSTM,0.9541892706449668,0.9360544217687075,0.9686147186147186,0.031385281385281384,0.06394557823129252,0.9595536959553695,0.9501061571125266,688.0,895.0,29.0,47.0
